Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
TRPS1,6,-0.9839,-16.378,0.004309,0.71429,2.73E-60,1.70E-57,-0.97825,-15.027,0.0056842,0.56503,4.91E-51,7.14E-48,-0.53615,-10.278,0.023745,0.62024,8.87E-25,3.26E-23,-0.5997,-11.218,0.015952,0.59095,3.31E-29,3.83E-27
WASH1,6,-0.96788,-17.196,0.0044465,0.71429,2.83E-66,1.99E-63,-1.0949,-16.132,0.0044923,0.56503,1.51E-58,3.66E-55,-1.3345,-21.15,0.0021545,0.58128,2.78E-99,1.01E-95,-1.4281,-21.677,0.0017419,0.59095,3.37E-104,3.68E-100
PHB2,6,-0.94104,-15.76,0.0046757,0.71429,5.89E-56,2.92E-53,-0.49927,-8.0193,0.028375,0.61209,1.06E-15,2.70E-14,-0.91701,-15.042,0.0053633,0.58128,3.89E-51,1.63E-48,-0.76079,-12.759,0.008022,0.59095,2.78E-37,7.13E-35
GPX4,6,-0.91734,-14.993,0.0049966,0.71429,8.20E-51,3.25E-48,-0.21225,-3.5324,0.20165,0.84038,0.00041177,0.0012188,-0.06151,-1.1402,0.57667,0.94756,0.25422,0.32073,0.080961,1.5171,0.82677,0.98021,0.12923,0.18674
SSTR4,6,-0.91329,-14.07,0.0050882,0.71429,5.84E-45,1.52E-42,-0.15001,-2.5233,0.31098,0.88613,0.011626,0.023663,-0.16778,-3.14,0.29315,0.86657,0.0016896,0.003613,0.018476,0.35379,0.90149,0.98998,0.7235,0.77933
CAD,6,-0.89981,-15.43,0.0053174,0.71429,1.03E-53,4.32E-51,-1.5153,-17.842,0.0018794,0.56503,3.33E-71,1.45E-67,-0.30544,-5.809,0.10575,0.7329,6.29E-09,3.38E-08,-0.18214,-3.5017,0.24928,0.8477,0.00046235,0.0012771
UFD1L,6,-0.89775,-15.889,0.0053174,0.71429,7.51E-57,3.99E-54,-0.67245,-10.94,0.012514,0.56897,7.45E-28,8.51E-26,-0.43258,-8.1656,0.042769,0.64661,3.20E-16,4.58E-15,-0.2958,-5.6492,0.099519,0.70187,1.61E-08,1.10E-07
RPL11,6,-0.8958,-12.799,0.0053174,0.71429,1.65E-37,2.44E-35,-0.98297,-11.78,0.0055925,0.56503,4.97E-32,1.00E-29,-0.76643,-11.649,0.0085721,0.58128,2.32E-31,1.63E-29,-0.93824,-13.265,0.0049507,0.59095,3.69E-40,1.28E-37
POLR2I,6,-0.89208,-13.38,0.005455,0.71429,7.90E-41,1.54E-38,-1.0104,-11.868,0.0052716,0.56503,1.74E-32,3.62E-30,-0.74863,-11.341,0.0093055,0.58128,8.24E-30,4.98E-28,-0.94843,-13.244,0.0048132,0.59095,4.87E-40,1.66E-37
VPS28,6,-0.89202,-14.81,0.005455,0.71429,1.25E-49,4.27E-47,-0.93692,-13.092,0.0064176,0.56503,3.64E-39,1.65E-36,-0.69552,-11.776,0.011552,0.58135,5.19E-32,3.88E-30,-0.42431,-7.5049,0.039377,0.60323,6.15E-14,1.04E-12
